ma_vt,ten_vt,don_vi,nhom,mac_dinh,sl_mac_dinh
DAY_MULLER_2x16,Dây Muller 2x16,m,Dây dẫn,,0
DAY_MULLER_4x16,Dây Muller 4x16,m,Dây dẫn,,0
KEP_NGUNG,Kẹp ngừng,cái,Phụ kiện,,1
GHI_NHOM,Ghíp nhôm,cái,Phụ kiện,x,2
SU_ONG_CHI,Sứ ống chỉ,cái,Phụ kiện,,0
XA_SAT,Xà sắt,cái,Phụ kiện,,0
NEO_TANG_DO,Dây néo + tăng đơ,bộ,Néo chằng,,0
MONG_NEO,Móng néo,cái,Néo chằng,,0
COC_TIEP_DIA,Cọc tiếp địa V63,cái,Tiếp địa,,0
DAY_TIEP_DIA,Dây tiếp địa,m,Tiếp địa,,0
BANG_KEO,Băng keo điện,cuộn,Phụ kiện,x,1
ONG_NHUA,Ống nhựa luồn cáp,m,Phụ kiện,,0
APTMT_HOP,Aptomat + hộp công tơ,bộ,Công tơ,,1
